threshold,detection_rate,false_positive_rate,reject_rate,unsafe_acceptance_rate
0.1,0.8211764705880421,0.12592592592589483,0.0,0.17882352941172264
0.15000000000000002,0.8211764705880421,0.12592592592589483,0.0,0.17882352941172264
0.20000000000000004,0.8211764705880421,0.12592592592589483,0.0,0.17882352941172264
0.25000000000000006,0.8211764705880421,0.12592592592589483,0.0,0.17882352941172264
0.30000000000000004,0.8211764705880421,0.12592592592589483,0.0,0.17882352941172264
0.3500000000000001,0.8211764705880421,0.12592592592589483,0.0,0.17882352941172264
0.40000000000000013,0.8211764705880421,0.12376237623759313,0.0012048192771082886,0.17882352941172264
0.45000000000000007,0.8211764705880421,0.12406947890815781,0.002409638554216577,0.17882352941172264
0.5000000000000001,0.8246445497628377,0.12311557788941631,0.012048192771082884,0.17535545023692528
0.5500000000000002,0.8317307692305693,0.11658031088079882,0.03373493975903208,0.16826923076919031
0.6000000000000002,0.8418491484182867,0.11256544502614854,0.04457831325300667,0.15815085158147005
0.6500000000000001,0.8414634146339411,0.11111111111108173,0.05060240963854812,0.158536585365815
0.7000000000000002,0.8435207823958818,0.10714285714282772,0.06867469879517245,0.15647921760387373
0.7500000000000002,0.8553615960097618,0.0962099125364151,0.10361445783131282,0.14463840398998887
0.8000000000000002,0.8698979591834516,0.09202453987727238,0.13493975903612832,0.13010204081629334
0.8500000000000002,0.8759689922478356,0.07213114754095996,0.1662650602409438,0.12403100775190594
0.9000000000000002,0.881266490764939,0.05494505494503482,0.21445783132527535,0.11873350923479717
0.9500000000000003,0.8867403314914678,0.05042016806720571,0.27710843373490635,0.11325966850825601
